,Year,Weight,Value,Commodity,Partner,PartnerISO
650,1994,195198,965592,"Grape wines(including fortified), alcoholic grape mus",Malta,MLT
651,1994,5262687,13843301,"Grape wines(including fortified), alcoholic grape mus",Martinique,MTQ
652,1994,80800,444656,"Grape wines(including fortified), alcoholic grape mus",Mauritania,MRT
653,1994,669585,2249495,"Grape wines(including fortified), alcoholic grape mus",Mauritius,MUS
654,1994,1934187,15155039,"Grape wines(including fortified), alcoholic grape mus",Mexico,MEX
656,1994,32296,25124,"Grape wines(including fortified), alcoholic grape mus",Rep. of Moldova,MDA
657,1994,561800,2802786,"Grape wines(including fortified), alcoholic grape mus",Morocco,MAR
658,1994,4312,21509,"Grape wines(including fortified), alcoholic grape mus",Mozambique,MOZ
659,1994,23398,102849,"Grape wines(including fortified), alcoholic grape mus",Oman,OMN
660,1994,87698,213109,"Grape wines(including fortified), alcoholic grape mus",Nepal,NPL
662,1994,399413,2253833,"Grape wines(including fortified), alcoholic grape mus",Neth. Antilles,ANT
641,1994,258601,382837,"Grape wines(including fortified), alcoholic grape mus",Latvia,LVA
685,1994,10312,52418,"Grape wines(including fortified), alcoholic grape mus",Saint Kitts and Nevis,KNA
687,1994,207186,450079,"Grape wines(including fortified), alcoholic grape mus",Saint Lucia,LCA
711,1994,842624,5093313,"Grape wines(including fortified), alcoholic grape mus",United Arab Emirates,ARE
712,1994,53010,476107,"Grape wines(including fortified), alcoholic grape mus",Tunisia,TUN
713,1994,135999,2402956,"Grape wines(including fortified), alcoholic grape mus",Turkey,TUR
714,1994,597,2530,"Grape wines(including fortified), alcoholic grape mus",Turkmenistan,TKM
715,1994,72487,106283,"Grape wines(including fortified), alcoholic grape mus",Turks and Caicos Isds,TCA
716,1994,25523,76097,"Grape wines(including fortified), alcoholic grape mus",Uganda,UGA
717,1994,258963,518224,"Grape wines(including fortified), alcoholic grape mus",Ukraine,UKR
718,1994,45097,707655,"Grape wines(including fortified), alcoholic grape mus",Egypt,EGY
719,1994,251941280,723620672,"Grape wines(including fortified), alcoholic grape mus",United Kingdom,GBR
720,1994,15562,32354,"Grape wines(including fortified), alcoholic grape mus",United Rep. of Tanzania,TZA
721,1994,84078816,504561504,"Grape wines(including fortified), alcoholic grape mus",USA,USA
723,1994,47398,239137,"Grape wines(including fortified), alcoholic grape mus",Burkina Faso,BFA
724,1994,264987,2920457,"Grape wines(including fortified), alcoholic grape mus",Uruguay,URY
725,1994,500,2168,"Grape wines(including fortified), alcoholic grape mus",Uzbekistan,UZB
726,1994,708312,3155077,"Grape wines(including fortified), alcoholic grape mus",Venezuela,VEN
727,1994,39726,66516,"Grape wines(including fortified), alcoholic grape mus",Wallis and Futuna Isds,WLF
728,1994,97,1265,"Grape wines(including fortified), alcoholic grape mus",Yemen,YEM
729,1994,1199,42296,"Grape wines(including fortified), alcoholic grape mus",Zambia,ZMB
710,1994,66273,306017,"Grape wines(including fortified), alcoholic grape mus",Trinidad and Tobago,TTO
686,1994,12284,63082,"Grape wines(including fortified), alcoholic grape mus",Anguilla,AIA
709,1994,214698,971014,"Grape wines(including fortified), alcoholic grape mus",Togo,TGO
707,1994,388500,244019,"Grape wines(including fortified), alcoholic grape mus",Tajikistan,TJK
688,1994,214862,505029,"Grape wines(including fortified), alcoholic grape mus",Saint Pierre and Miquelon,SPM
