,Year,Weight,Value,Commodity,Partner,PartnerISO
100,2015,2042777,10126863,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",France,FRA
101,2015,1455015,5394809,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",Germany,DEU
102,2015,9120,43718,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)","China, Hong Kong SAR",HKG
103,2015,120000,466901,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",Israel,ISR
96,2015,33469,183363,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",Colombia,COL
152,2016,2473,9720,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",Panama,PAN
146,2016,9211,42122,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",Lebanon,LBN
147,2016,69780,199778,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",Malaysia,MYS
148,2016,159940,647239,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",Mexico,MEX
150,2016,2374800,6403961,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",Netherlands,NLD
151,2016,49000,138280,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",New Zealand,NZL
153,2016,20000,28606,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",Poland,POL
162,2016,6000,14891,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",Turkey,TUR
155,2016,20000,30200,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",Romania,ROU
156,2016,10000,20400,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",Senegal,SEN
157,2016,14012,31966,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",Singapore,SGP
158,2016,741170,1906255,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",Spain,ESP
159,2016,105902,325645,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",Switzerland,CHE
160,2016,37000,116170,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",Thailand,THA
161,2016,83980,387704,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",United Arab Emirates,ARE
145,2016,113550,327063,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",Japan,JPN
163,2016,140000,300705,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",United Kingdom,GBR
154,2016,10877,45780,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",Qatar,QAT
144,2016,341448,949019,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",Italy,ITA
135,2016,7120,32006,"Cereals // Buckwheat, millet and canary seeds; other cereals. // -Quinoa (Chenopodium quinoa)",Costa Rica,CRI
