,Year,Weight,Value,Commodity,Partner,PartnerISO
646,1999,44491,255293,"Grape wines(including fortified), alcoholic grape must",Honduras,HND
645,1999,191499,1282639,"Grape wines(including fortified), alcoholic grape must",Haiti,HTI
644,1999,9312,92346,"Grape wines(including fortified), alcoholic grape must",Guyana,GUY
643,1999,127523,411262,"Grape wines(including fortified), alcoholic grape must",Guinea,GIN
642,1999,63112,532660,"Grape wines(including fortified), alcoholic grape must",Guatemala,GTM
619,1999,466976,2519998,"Grape wines(including fortified), alcoholic grape must",Cyprus,CYP
618,1999,130601,370038,"Grape wines(including fortified), alcoholic grape must",Cuba,CUB
617,1999,130773,392759,"Grape wines(including fortified), alcoholic grape must",Croatia,HRV
616,1999,91901,814897,"Grape wines(including fortified), alcoholic grape must",Costa Rica,CRI
592,1999,28124,58100,"Grape wines(including fortified), alcoholic grape must",Bosnia Herzegovina,BIH
591,1999,20750,244420,"Grape wines(including fortified), alcoholic grape must",Bolivia (Plurinational State of),BOL
590,1999,303722,3119849,"Grape wines(including fortified), alcoholic grape must",Bermuda,BMU
589,1999,196117616,600194240,"Grape wines(including fortified), alcoholic grape must",Belgium,BEL
588,1999,159198,2870560,"Grape wines(including fortified), alcoholic grape must",Barbados,BRB
587,1999,5386,15417,"Grape wines(including fortified), alcoholic grape must",Armenia,ARM
586,1999,22898,110361,"Grape wines(including fortified), alcoholic grape must",Bangladesh,BGD
585,1999,236675,1163026,"Grape wines(including fortified), alcoholic grape must",Bahrain,BHR
584,1999,393624,2851734,"Grape wines(including fortified), alcoholic grape must",Bahamas,BHS
583,1999,7069764,32011624,"Grape wines(including fortified), alcoholic grape must",Austria,AUT
582,1999,3966937,37083756,"Grape wines(including fortified), alcoholic grape must",Australia,AUS
581,1999,1280374,5099722,"Grape wines(including fortified), alcoholic grape must",Argentina,ARG
580,1999,25601,84556,"Grape wines(including fortified), alcoholic grape must",Azerbaijan,AZE
579,1999,83675,594333,"Grape wines(including fortified), alcoholic grape must",Antigua and Barbuda,ATG
578,1999,27476,412398,"Grape wines(including fortified), alcoholic grape must",Angola,AGO
577,1999,396694,2409796,"Grape wines(including fortified), alcoholic grape must",Andorra,AND
576,1999,2662601,2867964,"Grape wines(including fortified), alcoholic grape must",Algeria,DZA
575,1999,8386,51285,"Grape wines(including fortified), alcoholic grape must",Albania,ALB
574,1999,1699439360,6097723904,"Grape wines(including fortified), alcoholic grape must",World,WLD
593,1999,4382937,25360008,"Grape wines(including fortified), alcoholic grape must",Brazil,BRA
594,1999,14750,207091,"Grape wines(including fortified), alcoholic grape must",Belize,BLZ
596,1999,37925,265031,"Grape wines(including fortified), alcoholic grape must",Br. Virgin Isds,VGB
615,1999,33250,190049,"Grape wines(including fortified), alcoholic grape must",Dem. Rep. of the Congo,COD
614,1999,110300,648216,"Grape wines(including fortified), alcoholic grape must",Congo,COG
613,1999,213686,517079,"Grape wines(including fortified), alcoholic grape must",Comoros,COM
612,1999,442198,2827389,"Grape wines(including fortified), alcoholic grape must",Colombia,COL
611,1999,3500,7627,"Grape wines(including fortified), alcoholic grape must",Cocos Isds,CCK
610,1999,4616085,5027498,"Grape wines(including fortified), alcoholic grape must",China,CHN
609,1999,183300,1052500,"Grape wines(including fortified), alcoholic grape must",Chile,CHL
608,1999,45721,163107,"Grape wines(including fortified), alcoholic grape must",Chad,TCD
