,Year,Weight,Value,Commodity,Partner,PartnerISO
76,1998,22398,14271,Soya beans,Venezuela,VEN
75,1998,99445936,24267302,Soya beans,Uzbekistan,UZB
74,1998,33608480,6298623,Soya beans,Uruguay,URY
73,1998,26779062,6196371,Soya beans,USA,USA
72,1998,402466048,96133792,Soya beans,United Kingdom,GBR
71,1998,89816624,21127766,Soya beans,Turkey,TUR
70,1998,107730624,25525472,Soya beans,Thailand,THA
69,1998,115000,54625,Soya beans,Switzerland,CHE
68,1998,955557824,221128192,Soya beans,Spain,ESP
67,1998,5500000,1226500,Soya beans,Viet Nam,VNM
66,1998,4500000,1057625,Soya beans,Russian Federation,RUS
65,1998,168347568,40238896,Soya beans,Portugal,PRT
63,1998,105165128,24919952,Soya beans,Norway,NOR
62,1998,2972473088,699266368,Soya beans,Netherlands,NLD
58,1998,31280000,7463050,Soya beans,Rep. of Korea,KOR
64,1998,27599288,11225917,Soya beans,Paraguay,PRY
56,1998,330750176,76337416,Soya beans,Italy,ITA
57,1998,287864864,68593648,Soya beans,Japan,JPN
41,1998,161000,80500,Soya beans,Argentina,ARG
42,1998,433658176,100157800,Soya beans,Belgium-Luxembourg,BEL
44,1998,944971712,221631040,Soya beans,China,CHN
45,1998,3500000,875000,Soya beans,Colombia,COL
46,1998,8800000,2059199,Soya beans,Costa Rica,CRI
47,1998,7489511,2606854,Soya beans,Cuba,CUB
48,1998,12600000,3193778,Soya beans,Denmark,DNK
43,1998,86935064,15384132,Soya beans,Bolivia (Plurinational State of),BOL
50,1998,208047376,49017896,Soya beans,France,FRA
51,1998,1094425600,257635760,Soya beans,Germany,DEU
52,1998,5054234,1203260,Soya beans,Gibraltar,GIB
53,1998,75954312,17375772,Soya beans,Greece,GRC
55,1998,19350000,4029076,Soya beans,Iran,IRN
49,1998,87000,44061,Soya beans,Dominican Rep.,DOM
54,1998,242000,145199,Soya beans,Guatemala,GTM
96,1999,26137351,4632673,Soya beans,Mexico,MEX
98,1999,73380000,13491080,Soya beans,Morocco,MAR
99,1999,3021948164,543569106,Soya beans,Netherlands,NLD
100,1999,362876062,66594891,Soya beans,Norway,NOR
101,1999,8419261,2286968,Soya beans,Paraguay,PRY
103,1999,56899847,9838324,Soya beans,Thailand,THA
104,1999,14853250,2501322,Soya beans,Turkey,TUR
105,1999,461371875,81590511,Soya beans,United Kingdom,GBR
106,1999,3036000,592409,Soya beans,USA,USA
108,1999,16000,6719,Soya beans,Venezuela,VEN
95,1999,58500000,9889852,Soya beans,Malaysia,MYS
107,1999,7511679,1567075,Soya beans,Uruguay,URY
102,1999,1416228269,251217058,Soya beans,Spain,ESP
94,1999,54400000,9003292,Soya beans,Rep. of Korea,KOR
86,1999,252179562,46792152,Soya beans,France,FRA
92,1999,435667187,77485718,Soya beans,Italy,ITA
91,1999,96180000,16863386,Soya beans,Iran,IRN
90,1999,114601,62261,Soya beans,Guatemala,GTM
89,1999,64209285,11210442,Soya beans,Greece,GRC
88,1999,16500000,2940495,Soya beans,Gibraltar,GIB
87,1999,856548937,155365282,Soya beans,Germany,DEU
85,1999,6559117,1511580,Soya beans,Denmark,DNK
84,1999,10591699,3905665,Soya beans,Cuba,CUB
83,1999,620450812,111289569,Soya beans,China,CHN
82,1999,1000000,174539,Soya beans,Cayman Isds,CYM
81,1999,115893687,13835520,Soya beans,Bolivia (Plurinational State of),BOL
80,1999,422778625,75582804,Soya beans,Belgium,BEL
79,1999,8917209418,1593293277,Soya beans,World,WLD
93,1999,364144250,64469686,Soya beans,Japan,JPN
110,2000,11517264006,2187878569,Soya beans,World,WLD
127,2000,5469678,1077444,Soya beans,Ireland,IRL
112,2000,313047096,58716748,Soya beans,Belgium,BEL
146,2000,63000,22995,Soya beans,Uruguay,URY
142,2000,54439098,10229180,Soya beans,Turkey,TUR
141,2000,101476990,19261010,Soya beans,Thailand,THA
140,2000,2693285,672590,Soya beans,Switzerland,CHE
139,2000,1181662060,223032882,Soya beans,Spain,ESP
138,2000,293553726,55550815,Soya beans,Portugal,PRT
137,2000,9324030,2581654,Soya beans,Paraguay,PRY
136,2000,534991150,102966528,Soya beans,Norway,NOR
135,2000,3448716418,656760836,Soya beans,Netherlands,NLD
134,2000,70510000,13125787,Soya beans,Morocco,MAR
132,2000,155216057,29767481,Soya beans,Mexico,MEX
131,2000,3750000,712500,Soya beans,Malaysia,MYS
130,2000,110204320,20940892,Soya beans,Rep. of Korea,KOR
129,2000,530133880,103224471,Soya beans,Japan,JPN
128,2000,440510463,85103880,Soya beans,Italy,ITA
143,2000,30122750,5803540,Soya beans,Egypt,EGY
113,2000,169825864,25651709,Soya beans,Bolivia (Plurinational State of),BOL
114,2000,16000000,2957820,Soya beans,Chile,CHL
115,2000,1783628244,337350321,Soya beans,China,CHN
116,2000,10481000,1894755,Soya beans,Colombia,COL
117,2000,29400000,5381558,Soya beans,Croatia,HRV
118,2000,7660822,2788438,Soya beans,Cuba,CUB
111,2000,235200,87012,Soya beans,Argentina,ARG
119,2000,80000,24000,Soya beans,Denmark,DNK
121,2000,190870511,36041457,Soya beans,France,FRA
122,2000,1053262758,201073269,Soya beans,Germany,DEU
123,2000,6000000,1110000,Soya beans,Gibraltar,GIB
124,2000,34778834,6272935,Soya beans,Greece,GRC
125,2000,60480,25402,Soya beans,Guatemala,GTM
126,2000,318543524,61839852,Soya beans,Iran,IRN
120,2000,21750,6446,Soya beans,Dominican Rep.,DOM
147,2000,111400840,20648233,Soya beans,Venezuela,VEN
