Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2012,2012,2012,4,0,2,Export,360,Indonesia,IDN,266,Gabon,GAB,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,5025533,,5025533,,5670821,,,0
H4,2012,2012,2012,4,0,2,Export,360,Indonesia,IDN,268,Georgia,GEO,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,22692810,,22692810,,21856105,,,0
H4,2012,2012,2012,4,0,2,Export,360,Indonesia,IDN,270,Gambia,GMB,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,30180660,,30180660,,31542762,,,0
H4,2012,2012,2012,4,0,2,Export,360,Indonesia,IDN,276,Germany,DEU,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,219483521,,219483521,,197765129,,,0
H4,2012,2012,2012,4,0,2,Export,360,Indonesia,IDN,288,Ghana,GHA,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,45122507,,45122507,,46802277,,,0
H4,2012,2012,2012,4,0,2,Export,360,Indonesia,IDN,296,Kiribati,KIR,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,256881,,256881,,329403,,,0
H4,2012,2012,2012,4,0,2,Export,360,Indonesia,IDN,300,Greece,GRC,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,17445392,,17445392,,15944235,,,0
H4,2012,2012,2012,4,0,2,Export,360,Indonesia,IDN,320,Guatemala,GTM,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,1500000,,1500000,,1200000,,,0
H4,2012,2012,2012,4,0,2,Export,360,Indonesia,IDN,324,Guinea,GIN,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,34390342,,34390342,,31599513,,,0
H4,2012,2012,2012,4,0,2,Export,360,Indonesia,IDN,328,Guyana,GUY,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,162810,,162810,,189311,,,0
