Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,300,Greece,GRC,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,2506858,,2506858,,25929394,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,308,Grenada,GRD,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,6363,,6363,,38955,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,320,Guatemala,GTM,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,39318,,39318,,341961,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,324,Guinea,GIN,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,30959,,30959,,179287,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,328,Guyana,GUY,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,10406,,10406,,63624,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,332,Haiti,HTI,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,61971,,61971,,544046,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,344,"China, Hong Kong SAR",HKG,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,1073213,,1073213,,9142833,,,6
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,348,Hungary,HUN,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,838129,,838129,,5047510,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,352,Iceland,ISL,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,7735,,7735,,124995,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,360,Indonesia,IDN,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,201876,,201876,,1815296,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,368,Iraq,IRQ,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,954466,,954466,,4416708,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,372,Ireland,IRL,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,8314750,,8314750,,23140450,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,376,Israel,ISR,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,593211,,593211,,4617074,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,381,Italy,ITA,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,46411744,,46411744,,256173961,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,384,Côte d'Ivoire,CIV,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,731002,,731002,,4803324,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,388,Jamaica,JAM,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,5646,,5646,,64442,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,392,Japan,JPN,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,9401468,,9401468,,72731367,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,398,Kazakhstan,KAZ,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,322063,,322063,,2149494,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,400,Jordan,JOR,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,161847,,161847,,1151843,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,404,Kenya,KEN,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,60310,,60310,,464972,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,410,Rep. of Korea,KOR,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,5804351,,5804351,,36474750,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,414,Kuwait,KWT,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,1410000,,1410000,,9679979,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,418,Lao People's Dem. Rep.,LAO,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,11834,,11834,,98027,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,422,Lebanon,LBN,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,2163701,,2163701,,14378504,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,428,Latvia,LVA,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,108355,,108355,,690957,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,430,Liberia,LBR,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,15082,,15082,,87087,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,434,Libya,LBY,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,420241,,420241,,2576367,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,440,Lithuania,LTU,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,230389,,230389,,1518019,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,442,Luxembourg,LUX,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,38988513,,38988513,,256663950,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,446,"China, Macao SAR",MAC,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,187,,187,,2127,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,450,Madagascar,MDG,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,138755,,138755,,1116009,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,454,Malawi,MWI,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,246,,246,,5626,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,458,Malaysia,MYS,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,246023,,246023,,2410994,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,462,Maldives,MDV,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,11909,,11909,,80253,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,466,Mali,MLI,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,159996,,159996,,1673137,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,470,Malta,MLT,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,736381,,736381,,5311532,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,478,Mauritania,MRT,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,57588,,57588,,306294,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,480,Mauritius,MUS,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,518243,,518243,,4242442,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,484,Mexico,MEX,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,170265,,170265,,1865447,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,490,"Other Asia, nes",,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,403522,,403522,,3097309,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,496,Mongolia,MNG,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,3669,,3669,,32718,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,498,Rep. of Moldova,MDA,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,47707,,47707,,344705,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,504,Morocco,MAR,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,2924078,,2924078,,17510088,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,508,Mozambique,MOZ,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,25760,,25760,,217474,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,512,Oman,OMN,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,288796,,288796,,1962923,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,516,Namibia,NAM,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,1173,,1173,,15780,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,524,Nepal,NPL,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,4251,,4251,,39229,,,0
