Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,266,Gabon,GAB,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,650235,,650235,,4173809,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,268,Georgia,GEO,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,57457,,57457,,369680,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,270,Gambia,GMB,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,10307,,10307,,74637,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,275,State of Palestine,PSE,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,20049,,20049,,85874,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,276,Germany,DEU,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,133995635,,133995635,,866789146,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,288,Ghana,GHA,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,81135,,81135,,570382,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,300,Greece,GRC,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,1965605,,1965605,,22034260,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,308,Grenada,GRD,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,6245,,6245,,35472,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,320,Guatemala,GTM,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,36804,,36804,,333012,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,324,Guinea,GIN,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,76786,,76786,,435105,,,0
